OTU	clin_LogMaxMean	clin_Class	clin_LDA	clin_pValue	clin2_LogMaxMean	clin2_Class	clin2_LDA	clin2_pValue	group_LogMaxMean	group_Class	group_LDA	group_pValue	group2_LogMaxMean	group2_Class	group2_LDA	group2_pValue
Otu00001	5.03031	positive	3.87839	0.00599126	4.99532	positive	4.69107	0.021832	NA	NA	NA	NA	NA	NA	NA	NA
Otu00002	5.24897	negative	4.77187	0.00459573	5.21365	negative	4.8101	0.011406	NA	NA	NA	NA	NA	NA	NA	NA
Otu00003	4.76778	positive	3.86908	0.0387002	4.76234	positive	4.08772	0.0475855	NA	NA	NA	NA	NA	NA	NA	NA
Otu00006	4.74615	positive	4.2526	0.00911917	4.78411	positive	4.08898	0.0103021	4.834	recurrent	4.2118	0.0276759	NA	NA	NA	NA
Otu00010	4.30143	positive	3.91847	0.0150042	4.27985	positive	3.75075	0.0203498	NA	NA	NA	NA	NA	NA	NA	NA
Otu00016	4.15014	positive	3.75745	0.00649985	4.10183	positive	3.76939	0.0164325	NA	NA	NA	NA	NA	NA	NA	NA
Otu00023	3.24428	positive	3.32499	0.00128478	3.25855	positive	3.4826	0.00100908	3.24724	recurrent	3.44118	0.0237206	3.25175	recurrent	2.93154	0.0240485
Otu00030	3.87802	positive	3.39828	0.0198846	3.89876	positive	3.49609	0.0213261	NA	NA	NA	NA	NA	NA	NA	NA
Otu00034	3.75484	positive	3.39839	0.00282342	3.79517	positive	3.3324	0.00194246	NA	NA	NA	NA	NA	NA	NA	NA
Otu00044	3.64992	negative	3.16921	0.0388065	3.65276	positive	3.29391	0.025711	NA	NA	NA	NA	NA	NA	NA	NA
Otu00048	3.6364	positive	3.10157	0.00876736	3.64616	positive	3.55139	0.0140484	NA	NA	NA	NA	NA	NA	NA	NA
Otu00050	3.78051	positive	3.312	0.000752269	3.81999	positive	3.67471	0.000416664	NA	NA	NA	NA	NA	NA	NA	NA
