taxlevel	 rankID	 taxon	 daughterlevels	 total	D1_A	D1_B	D2_A	D2_B	D3_A	D3_B	D4_A	D4_B	D5_A	D5_B	DA0153	DA0154	DA0155	DA0156	DA0156_R	DA0157	DA0165	DA0192	DA0207	DA0208	DA0219	DA0227	DA0228	DA0236	DA0281	DA0283	DA0288	DA0296	DA0299	DA0309	DA0318	DA0328	DA0338	DA0339	DA0345	DA0346	DA0349	DA0379	DA0380	DA0381	DA0382	DA0383	DA0391	DA0394	DA0397	DA0415	DA0416	DA0416_R	DA0417	DA0426	DA0427	DA0435	DA0450	DA0453	DA0457	DA0458	DA0461	DA0467	DA0474	DA0475	DA0476	DA0488	DA0498	DA0525	DA0527	DA0530	DA0550	DA0551	DA0554	DA0556	DA0565	DA0568	DA0574	DA0578	DA0581	DA0592	DA0593	DA0595	DA0600	DA0600_O	DA0600_OS	DA0600_P	DA0600_X	DA0603	DA0611	DA0611_R	DA0615	DA0617	DA0618	DA0619	DA0621	DA0635	DA0635_R	DA0638	DA0638_R	DA0638_s	DA0666	DA0673	DA0676	DA0689	DA0695	DA0705	DA0718_R	DA0719	DA0721	DA0721_R	DA0725	DA0731	DA0734_R	DA0735	DA0738	DA0741	DA0752	DA0753	DA0754	DA0776	DA0778	DA0779	DA0780	DA0793	DA0804	DA0806	DA0810	DA0812	DA0820	DA0845	DA0850	DA0861	DA0864	DA0904	DA0908	DA0918	DA0926	DA0933	DA0933_R	DA0939	DA0941	DA0943	DA0948	DA0949	DA0954	DA0955	DA0963	DA0977	DA0978	DA0980	DA0984	DA0989	DA0991	DA0991_R	DA0993	DA0994	DA1008	DA1009	DA1009_s	DA1026	DA1030	DA1033_R	DA1039	DA1041	DA1043	DA1044	DA1046	DA1068	DA1071	DA1088	DA1102	DA1119	DA1119_s	DA1120	DA1125	DA1133	DA1139	DA1155	DA1174	DA1179	DA1193	DA1208	DA1215	DA1217	DA1223	DA1227	DA1231	DA1235	DA1244	DA1249	DA1250	DA1251	DA1287	DA1306	DA1320	DA1324	DA1335	DA1359	DA1365	DA1369	DA1370	DA1384	DA1388	DA1399	DA1419	DA1428	DA1468	DA1475	DA1482	DA1483	DA1484	DA1497	DA1504	DA1513	DA1514	DA1519	DA1525	DA1536	DA1545	DA1563	DA1580	DA1609	DA1621	DA1645	DA1648	DA1655	DA1657a	DA1657b	DA1673	DA1686	DA1718	DA1749	DA1752	DA1779	DA1810	DA1837	DA1904	DA1918	DA1936	DA1937	DA1945	DA1960	DA1962	DA1963	DA1966	DA1979	DA1993	DA2014	DA2043	DA2045	DA2047	DA2058	DA2059a	DA2059b	DA2063	DA2072a	DA2072b	DA2095	DA2102	DA2245	DA2263_s	DA2263a	DA2263b	DA2267	DA2276	DA2347	DA2355	DA2363	DA2430_s	DA2444	DA2559	DA2699	DA2710	DA2763	DA2764	DA2766	DA2792	DA2797	DA2803	DA2819	DA2822	DA2826	DA2830	DA2832	DA2840	DA2845	DA2850	DA2851	DA2852	DA2867	DA2869	DA2870	DA2871	DA2875	DA2879	DA2894	DA2905	DA2909	DA2910	DA2911	DA2932	DA2938	DA2939	DA2940	DA2942	DA2946	DA2960	DA2997	DA3027a	DA3027b	DA3035	DA3081	DA3091	DA3108	DA3137	DA3139	DA3143	DA3173	DA3185	DA3215	DA3215_O	DA3215_OS	DA3215_P	DA3215_X	DA3216	DA3216_OS	DA3217	DA3239	DA3240	DA3243	DA3243_X	DA3260_P	DA3260_X	DA3298	DA3299	DA3376	EXTR_NEG1	MOCKB	MOCKC	R1_A	R1_B	R1_C	R1_D	R1_E	R1_F	R2_A	R2_B	R2_C	R2_D	R2_E	R2_F	R3_A	R3_B	R3_D	R3_E	R3_F	R4_A	R4_B	R4_C	R4_D	R4_E	R4_F	R5_B	R5_C	R5_D	R5_E	R6_A	R6_B	R6_C	R6_D	R6_E	TD_DA0296	TD_DA2710	TD_water_021315	mock_C_021315	test	waterB	waterC
0	0	Root	2	5765231	20217	19345	48005	21570	22231	19164	41203	19836	9866	18831	11745	21499	17012	13605	7677	9599	18578	8184	3154	22138	15242	11765	6802	20572	15211	9686	8397	19003	22347	12664	23375	11331	17020	20994	18821	22485	25916	18749	16746	11260	13257	18621	18293	15799	11629	10686	8125	7206	28560	14168	6851	19644	11425	13218	20140	15789	22460	4132	8121	15397	18398	14942	11269	14345	18210	17219	13387	14343	17338	14492	17048	5638	13291	33274	30968	15128	29733	19974	12055	10582	16360	15829	15854	2198	6602	5816	17735	11202	9683	11156	15546	10151	5790	7308	7273	17019	12081	10575	11932	10725	15337	1438	4668	12310	12140	6586	16299	11686	6672	6798	8192	14502	6029	16295	13885	13232	25940	14085	4220	14015	10275	13816	13145	18046	17963	11550	13077	24364	5154	17803	16329	13042	20156	1651	4670	15538	18054	16687	18921	11347	16931	8995	20093	11896	7665	15230	7820	15064	14856	5981	9187	18438	16959	16787	11647	12463	13469	5585	15651	16315	22734	14799	16950	27	16764	17904	19176	11033	18830	18981	23199	14365	12850	15675	16649	13204	2521	19940	15401	3367	17309	18679	20941	8840	19437	4414	8421	14586	7205	14362	13249	7931	12722	15828	18385	20356	25293	22633	12643	22580	12434	24415	12109	12400	16727	11861	13863	15370	19082	15042	20651	2273	17061	11040	19994	21172	16670	10755	19104	9596	17587	16869	18049	11388	17103	12400	13754	11426	2350	17634	12756	12025	16635	21727	17636	17969	13942	25913	13445	13419	7929	19884	15439	3806	9472	11883	19772	19534	18313	10177	16271	17693	19230	14670	14968	14674	12255	17479	12041	21985	13481	19684	15377	13494	14874	9046	23117	12279	23501	24690	2946	11763	11081	11545	15533	15899	19042	8425	12332	18157	20715	11581	8505	14115	12613	16286	17492	6093	20206	12237	10371	14990	25464	7022	12813	20469	23075	25792	14633	12258	20083	5636	12522	22124	17009	19056	5063	13018	2627	18794	12402	24090	15017	18538	17573	23089	12361	27505	10419	28823	15849	14275	20407	9782	11673	15298	18150	16509	23293	10378	10178	13707	394	28500	14688	19392	19755	43381	14382	20027	37745	18229	20875	16536	1001	5866	15008	25418	40183	20196	19234	20656	13362	27194	21854	40556	19946	20860	24263	20379	28715	15475	18404	46110	17283	17389	36796	3005	21835	1031	27608	15258	63	47
1	0.1	Archaea	3	6710	767	553	0	0	0	1	9	1	0	0	0	0	0	0	0	0	0	0	0	419	0	0	0	0	0	0	0	0	15	0	0	0	0	0	75	0	0	0	0	0	7	60	0	0	0	0	0	0	146	0	0	0	0	0	0	8	0	13	0	0	0	0	0	222	0	591	84	0	0	0	0	0	316	0	0	0	0	0	0	0	0	0	0	91	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	45	0	2	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	197	0	0	0	0	0	0	59	0	0	0	0	0	0	9	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	149	29	0	0	0	0	2	0	0	0	0	0	0	0	0	465	0	0	0	0	12	0	4	0	0	0	0	0	0	148	0	0	0	2	0	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359	0	0	0	0	0	0	0	0	60	0	0	72	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345	471	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	17	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0.1.2	Euryarchaeota	1	6411	767	553	0	0	0	1	9	1	0	0	0	0	0	0	0	0	0	0	0	419	0	0	0	0	0	0	0	0	15	0	0	0	0	0	17	0	0	0	0	0	7	60	0	0	0	0	0	0	146	0	0	0	0	0	0	8	0	13	0	0	0	0	0	222	0	591	84	0	0	0	0	0	316	0	0	0	0	0	0	0	0	0	0	91	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	149	29	0	0	0	0	2	0	0	0	0	0	0	0	0	465	0	0	0	0	12	0	4	0	0	0	0	0	0	148	0	0	0	2	0	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359	0	0	0	0	0	0	0	0	60	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345	471	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	17	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0.1.2.3	Methanobacteria	1	6411	767	553	0	0	0	1	9	1	0	0	0	0	0	0	0	0	0	0	0	419	0	0	0	0	0	0	0	0	15	0	0	0	0	0	17	0	0	0	0	0	7	60	0	0	0	0	0	0	146	0	0	0	0	0	0	8	0	13	0	0	0	0	0	222	0	591	84	0	0	0	0	0	316	0	0	0	0	0	0	0	0	0	0	91	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	149	29	0	0	0	0	2	0	0	0	0	0	0	0	0	465	0	0	0	0	12	0	4	0	0	0	0	0	0	148	0	0	0	2	0	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359	0	0	0	0	0	0	0	0	60	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345	471	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	17	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0.1.2.3.1	Methanobacteriales	1	6411	767	553	0	0	0	1	9	1	0	0	0	0	0	0	0	0	0	0	0	419	0	0	0	0	0	0	0	0	15	0	0	0	0	0	17	0	0	0	0	0	7	60	0	0	0	0	0	0	146	0	0	0	0	0	0	8	0	13	0	0	0	0	0	222	0	591	84	0	0	0	0	0	316	0	0	0	0	0	0	0	0	0	0	91	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	149	29	0	0	0	0	2	0	0	0	0	0	0	0	0	465	0	0	0	0	12	0	4	0	0	0	0	0	0	148	0	0	0	2	0	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359	0	0	0	0	0	0	0	0	60	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345	471	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	17	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.2.3.1.1	Methanobacteriaceae	1	6411	767	553	0	0	0	1	9	1	0	0	0	0	0	0	0	0	0	0	0	419	0	0	0	0	0	0	0	0	15	0	0	0	0	0	17	0	0	0	0	0	7	60	0	0	0	0	0	0	146	0	0	0	0	0	0	8	0	13	0	0	0	0	0	222	0	591	84	0	0	0	0	0	316	0	0	0	0	0	0	0	0	0	0	91	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	149	29	0	0	0	0	2	0	0	0	0	0	0	0	0	465	0	0	0	0	12	0	4	0	0	0	0	0	0	148	0	0	0	2	0	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359	0	0	0	0	0	0	0	0	60	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345	471	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	17	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.2.3.1.1.2	Methanobrevibacter	0	6411	767	553	0	0	0	1	9	1	0	0	0	0	0	0	0	0	0	0	0	419	0	0	0	0	0	0	0	0	15	0	0	0	0	0	17	0	0	0	0	0	7	60	0	0	0	0	0	0	146	0	0	0	0	0	0	8	0	13	0	0	0	0	0	222	0	591	84	0	0	0	0	0	316	0	0	0	0	0	0	0	0	0	0	91	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	149	29	0	0	0	0	2	0	0	0	0	0	0	0	0	465	0	0	0	0	12	0	4	0	0	0	0	0	0	148	0	0	0	2	0	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359	0	0	0	0	0	0	0	0	60	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345	471	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	17	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0.1.6	Thaumarchaeota	2	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0.1.6.2	Nitrososphaerales	1	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0.1.6.2.1	Nitrososphaeraceae	1	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
