label	group	simpson	simpson_lci	simpson_hci	invsimpson	invsimpson_lci	invsimpson_hci	shannon	shannon_lci	shannon_hci	npshannon	sobs	chao	chao_lci	chao_hci	nseqs
0.03	D1_A	0.035141	0.034362	0.035919	28.457154	27.8407	29.101525	4.018729	3.997231	4.040228	4.037473	338	364.5	351.309779	390.761958	19450
0.03	D1_B	0.038435	0.037544	0.039326	26.017959	25.428635	26.635247	3.984355	3.961468	4.007242	4.01204	382	434.213333	412.537935	471.273626	18792
0.03	D2_A	0.048862	0.048227	0.049496	20.465923	20.203664	20.73508	3.485458	3.474086	3.496829	3.492792	228	265.243243	246.766443	301.911672	48003
0.03	D2_B	0.054403	0.053246	0.05556	18.381491	17.998699	18.78092	3.433301	3.415749	3.450852	3.444498	187	228.045455	206.16404	274.910971	21568
0.03	D3_A	0.049589	0.048195	0.050983	20.165812	19.614326	20.749208	3.759954	3.740532	3.779376	3.771871	244	254.333333	248.081276	270.162842	22231
0.03	D3_B	0.049608	0.048249	0.050968	20.157928	19.620193	20.725968	3.684441	3.664111	3.704771	3.697988	227	253.090909	239.121849	283.157733	19163
0.03	D4_A	0.035659	0.035005	0.036314	28.043031	27.537932	28.567005	3.895603	3.883234	3.907973	3.901544	236	255.6875	244.601963	281.059211	41193
0.03	D4_B	0.053747	0.052231	0.055263	18.605782	18.095375	19.145819	3.662848	3.642021	3.683675	3.675946	222	247.323529	233.75715	276.543929	19745
0.03	D5_A	0.126647	0.121979	0.131315	7.895943	7.615258	8.198112	2.721662	2.693884	2.74944	2.734362	92	113.083333	99.661173	150.020744	9864
0.03	D5_B	0.115467	0.112893	0.118042	8.660472	8.471584	8.857976	2.717832	2.698379	2.737285	2.725133	105	110.714286	106.662091	124.645771	18827
0.03	DA0153	0.175246	0.171734	0.178759	5.706261	5.594135	5.822975	2.013426	1.996367	2.030485	2.016681	31	33	31.286466	44.963265	11745
0.03	DA0154	0.211546	0.206785	0.216308	4.727099	4.623042	4.835949	2.180933	2.162451	2.199414	2.182302	46	46.166667	46.007732	49.592504	21499
0.03	DA0155	0.479407	0.476778	0.482036	2.085909	2.074533	2.09741	0.830271	0.818766	0.841775	0.832571	24	25.5	24.180377	36.473897	17010
0.03	DA0156	0.850716	0.842693	0.858738	1.175481	1.164499	1.186671	0.393201	0.374031	0.412371	0.397199	28	31	28.501496	45.946298	13605
0.03	DA0156_R	0.944704	0.9376	0.951807	1.058533	1.050633	1.066553	0.182836	0.162033	0.20364	0.185098	17	17	17	0	7677
0.03	DA0157	0.317874	0.311007	0.324742	3.145896	3.079367	3.215363	1.488298	1.465157	1.511438	1.490604	31	31	31	0	9597
0.03	DA0165	0.080146	0.078473	0.08182	12.477176	12.222014	12.74322	2.997315	2.979446	3.015184	3.003713	103	105.142857	103.429856	113.682272	18578
0.03	DA0192	0.316633	0.306208	0.327058	3.158234	3.057565	3.265758	1.898813	1.863407	1.934219	1.904586	52	54.5	52.409254	67.271686	8184
0.03	DA0207	0.470726	0.450259	0.491194	2.124377	2.035856	2.220946	1.419705	1.362281	1.477128	1.428422	35	35.142857	35.006302	38.238251	3154
0.03	DA0208	0.119966	0.117821	0.12211	8.335701	8.189306	8.487425	2.535879	2.520241	2.551517	2.540267	77	82.5	78.406622	98.505426	21719
0.03	DA0219	0.344916	0.340402	0.349431	2.899255	2.861797	2.937707	1.350458	1.332263	1.368652	1.354414	40	45.6	41.15542	67.141645	15233
0.03	DA0227	0.120156	0.115793	0.124518	8.322519	8.030944	8.636064	2.768559	2.745208	2.79191	2.772893	62	62.909091	62.109945	69.51694	11765
0.03	DA0228	0.348971	0.34229	0.355652	2.865564	2.811733	2.921496	1.255365	1.234963	1.275767	1.258877	14	17	14.39133	36.998494	6802
0.03	DA0236	0.116623	0.115007	0.118239	8.574635	8.457448	8.695116	2.405102	2.392254	2.417951	2.407799	46	55	48.002307	86.453337	20572
0.03	DA0281	0.30445	0.29828	0.310621	3.284608	3.219361	3.352553	1.629279	1.609304	1.649254	1.6314	33	33.5	33.040234	39.213644	15211
0.03	DA0283	0.134979	0.132968	0.136991	7.408537	7.299769	7.520596	2.208178	2.189436	2.22692	2.213284	42	45.5	42.648617	60.886352	9686
0.03	DA0288	0.989077	0.985955	0.992198	1.011044	1.007863	1.014245	0.046151	0.03435	0.057952	0.050479	14	15.2	14.138909	24.366469	8397
0.03	DA0296	0.151202	0.147637	0.154767	6.613672	6.461336	6.773365	2.516743	2.496189	2.537298	2.521854	90	91.555556	90.263829	99.171666	19003
0.03	DA0299	0.082057	0.080193	0.083921	12.186655	11.915914	12.469984	3.08928	3.070651	3.107909	3.100528	185	193.552632	188.12199	208.429772	22332
0.03	DA0309	0.79425	0.784894	0.803606	1.259049	1.24439	1.274057	0.520113	0.499576	0.54065	0.52301	16	19.333333	16.503451	38.06988	12662
0.03	DA0318	0.077475	0.076124	0.078827	12.90731	12.685981	13.1365	3.013359	2.997566	3.029152	3.018846	109	113.55	110.213796	126.055996	23375
0.03	DA0328	0.179976	0.175948	0.184004	5.556303	5.434676	5.683499	2.150603	2.127776	2.173429	2.153552	41	43.5	41.368021	57.982713	11331
0.03	DA0338	0.133785	0.130367	0.137203	7.474685	7.288495	7.670637	2.672626	2.650984	2.694268	2.676739	86	89.5	86.697263	103.568701	17020
0.03	DA0339	0.225632	0.222044	0.229219	4.432002	4.362632	4.503613	1.927869	1.910512	1.945225	1.929919	47	47.75	47.077835	54.226811	20994
0.03	DA0345	0.004608	0.004483	0.004733	216.99498	211.268028	223.041071	5.767557	5.754333	5.780782	5.772716	502	509.65	504.41438	526.239146	18557
0.03	DA0346	0.054758	0.053546	0.05597	18.262204	17.86668	18.675637	3.561207	3.54239	3.580024	3.566874	169	171.869565	169.660109	181.47431	22485
0.03	DA0349	0.149195	0.147119	0.151272	6.702621	6.610627	6.797211	2.288268	2.273361	2.303175	2.290352	66	67.25	66.164244	75.513299	25916
0.03	DA0379	0.138914	0.136834	0.140994	7.198713	7.092523	7.30813	2.33696	2.319167	2.354753	2.342346	85	91.6	86.712849	110.431317	18749
0.03	DA0380	0.111548	0.109072	0.114024	8.964727	8.770057	9.168235	2.68212	2.663451	2.700789	2.683596	58	58.25	58.013038	62.793627	16746
0.03	DA0381	0.13435	0.131415	0.137284	7.443268	7.284185	7.609454	2.314339	2.295963	2.332716	2.31706	38	38.6	38.050626	45.11091	11260
0.03	DA0382	0.079246	0.077075	0.081417	12.619004	12.282509	12.974456	3.123436	3.098804	3.148068	3.140281	165	173.333333	168.031139	187.910346	13250
0.03	DA0383	0.106567	0.104684	0.108449	9.383801	9.220905	9.552555	2.734877	2.714732	2.755023	2.744033	131	137.576923	133.081334	151.782788	18561
0.03	DA0391	0.171236	0.168019	0.174454	5.839886	5.732184	5.951714	2.284363	2.264138	2.304588	2.289219	75	80	76.215104	95.574366	18293
0.03	DA0394	0.224606	0.22006	0.229153	4.452231	4.363894	4.54422	1.971997	1.950875	1.993118	1.975502	63	63.230769	63.014302	66.72361	15799
0.03	DA0397	0.151469	0.147698	0.155239	6.602018	6.441662	6.770561	2.375748	2.352126	2.399371	2.378505	52	52.6	52.050626	59.11091	11629
0.03	DA0415	0.259979	0.253921	0.266037	3.846464	3.758878	3.938228	1.811258	1.786022	1.836495	1.816859	49	51.333333	49.409807	62.285377	10686
0.03	DA0416	0.791276	0.779643	0.802908	1.263782	1.245472	1.282638	0.558754	0.529393	0.588114	0.567578	39	40.909091	39.322594	50.297891	8125
0.03	DA0416_R	0.905068	0.895853	0.914284	1.104889	1.093752	1.116254	0.259551	0.237029	0.282073	0.265659	19	24	19.864775	47.909245	7206
0.03	DA0417	0.138165	0.136025	0.140305	7.237731	7.127354	7.351579	2.437113	2.422541	2.451684	2.439134	68	69.111111	68.141918	76.699193	28414
0.03	DA0426	0.754304	0.745099	0.763508	1.325726	1.309743	1.342103	0.581196	0.561904	0.600489	0.584899	25	25.545455	25.051357	30.793164	14168
0.03	DA0427	0.992427	0.989543	0.99531	1.007631	1.004712	1.010567	0.030827	0.020406	0.041249	0.032449	7	7	7	0	6851
0.03	DA0435	0.093128	0.091398	0.094858	10.737925	10.542064	10.941202	2.767916	2.752381	2.783451	2.770797	59	62.5	59.697263	76.568701	19644
0.03	DA0450	0.458878	0.449617	0.468139	2.179227	2.136115	2.224114	1.341254	1.311497	1.371011	1.345595	54	54.75	54.077835	61.226811	11425
0.03	DA0453	0.188141	0.184356	0.191926	5.315159	5.21033	5.424293	2.090967	2.07002	2.111914	2.094348	46	47.428571	46.193189	56.563816	13218
0.03	DA0457	0.152758	0.150408	0.155109	6.546283	6.447091	6.648574	2.295523	2.277525	2.31352	2.298931	79	83.666667	79.954004	101.82777	20140
0.03	DA0458	0.123115	0.120748	0.125483	8.122471	7.969226	8.281725	2.420908	2.405245	2.436571	2.423506	43	44.2	43.138909	53.366469	15781
0.03	DA0461	0.229206	0.225854	0.232558	4.362889	4.300008	4.427637	1.889446	1.872525	1.906368	1.891627	53	53.272727	53.018019	57.127959	22460
0.03	DA0467	0.231684	0.223273	0.240094	4.316227	4.165029	4.478816	1.937387	1.894724	1.980049	1.951336	51	52.909091	51.322594	62.297891	4110
0.03	DA0474	0.978719	0.974324	0.983113	1.021744	1.017177	1.026352	0.075425	0.061747	0.089102	0.078373	10	11	10.093649	20.678164	8121
0.03	DA0475	0.236493	0.233147	0.23984	4.228449	4.169445	4.289148	1.646074	1.632856	1.659292	1.648439	22	27	22.864775	50.909245	15397
0.03	DA0476	0.408632	0.402407	0.414858	2.447188	2.410464	2.485048	1.328869	1.309158	1.34858	1.331234	44	45	44.111496	52.968937	18398
0.03	DA0488	0.200433	0.19766	0.203207	4.989188	4.921095	5.059192	1.848684	1.832921	1.864446	1.851795	38	38.272727	38.018019	42.127959	14940
0.03	DA0498	0.452649	0.448874	0.456425	2.209216	2.190942	2.227798	0.986757	0.965979	1.007536	0.996024	55	60	56.215104	75.574366	11269
0.03	DA0525	0.276691	0.270639	0.282742	3.614144	3.536792	3.694956	2.054553	2.024895	2.08421	2.060415	90	93	90.619406	104.530055	14123
0.03	DA0527	0.155509	0.152402	0.158616	6.430512	6.30455	6.561609	2.337751	2.319485	2.356018	2.339543	50	53.333333	50.503451	72.06988	18210
0.03	DA0530	0.15843	0.155579	0.161282	6.311924	6.200338	6.427599	2.284787	2.26515	2.304424	2.288094	64	66.142857	64.343036	77.385874	16628
0.03	DA0550	0.107308	0.105248	0.109368	9.31896	9.143414	9.501379	2.544493	2.526309	2.562678	2.547359	54	54.111111	54.004488	56.751083	13303
0.03	DA0551	0.120119	0.116873	0.123365	8.325065	8.106013	8.556286	2.593991	2.574978	2.613004	2.59697	50	51.666667	50.232004	61.972994	14343
0.03	DA0554	0.174381	0.171387	0.177375	5.734579	5.637778	5.834762	2.019273	2.005992	2.032555	2.020121	21	21	21	0	17338
0.03	DA0556	0.260968	0.256164	0.265771	3.831894	3.762638	3.903747	1.782273	1.761803	1.802743	1.784123	32	32.75	32.066559	40.451092	14492
0.03	DA0565	0.079107	0.077509	0.080704	12.641144	12.390927	12.901676	3.081179	3.059888	3.10247	3.086266	130	131.615385	130.262646	139.935318	17048
0.03	DA0568	0.243382	0.233522	0.253242	4.108771	3.948794	4.282256	1.990052	1.955141	2.024962	1.992608	32	32	32	32	5638
0.03	DA0574	0.153529	0.151127	0.155932	6.513411	6.413052	6.61696	2.049127	2.036526	2.061729	2.050934	21	22	21.093649	31.678164	12975
0.03	DA0578	0.131497	0.129645	0.133349	7.604728	7.499112	7.713362	2.505877	2.491939	2.519815	2.508289	79	84.625	80.315172	103.05817	33274
0.03	DA0581	0.099574	0.097696	0.101451	10.042831	9.856973	10.235834	3.028914	3.011914	3.045914	3.032642	132	138.5	133.813611	155.296062	30968
0.03	DA0592	0.194433	0.188032	0.200834	5.143154	4.979234	5.318233	2.814759	2.785432	2.844085	2.816798	74	76	74.286466	87.963265	15128
0.03	DA0593	0.202057	0.198148	0.205966	4.949099	4.855167	5.046738	2.270113	2.253353	2.286872	2.273071	84	85.75	84.290046	94.558671	29732
0.03	DA0595	0.152405	0.148527	0.156283	6.561477	6.398667	6.732788	2.601222	2.580332	2.622112	2.607517	108	115.5	110.18511	133.742407	19974
0.03	DA0600	0.251804	0.244955	0.258654	3.971336	3.866167	4.082387	1.996205	1.969761	2.022649	2.002107	62	64.333333	62.436286	74.479066	12055
0.03	DA0600_O	0.150518	0.145671	0.155366	6.643709	6.436409	6.864806	2.599145	2.571235	2.627054	2.604856	65	74.166667	67.29218	101.658448	10582
0.03	DA0600_OS	0.271397	0.267099	0.275696	3.684634	3.627189	3.743928	1.692916	1.672805	1.713026	1.703285	91	94.5	91.888745	104.783486	16360
0.03	DA0600_P	0.1538	0.150072	0.157527	6.501965	6.348111	6.663461	2.589933	2.565732	2.614134	2.594914	92	95.6	92.76382	108.967346	15829
0.03	DA0600_X	0.098626	0.096973	0.100279	10.139332	9.972202	10.312159	2.696026	2.677301	2.714751	2.699626	76	77.666667	76.254726	86.904971	15851
0.03	DA0603	0.08335	0.077539	0.089161	11.997615	11.215675	12.896758	3.089707	3.030865	3.148548	3.117664	76	81.5	77.348412	98.433801	2107
0.03	DA0611	0.190853	0.186127	0.195578	5.239642	5.11304	5.372673	2.031552	2.002253	2.060851	2.037823	43	43.857143	43.092143	50.973392	6602
0.03	DA0611_R	0.251621	0.243104	0.260137	3.974236	3.844129	4.113459	1.83538	1.803223	1.867537	1.841247	32	34	32.286466	45.963265	5803
0.03	DA0615	0.10925	0.106216	0.112285	9.153277	8.905882	9.41481	2.885141	2.86427	2.906011	2.888835	95	98.5	95.697263	112.568701	17729
