OTU	index.rec_LogMaxMean	index.rec_Class	index.rec_LDA	index.rec_pValue	clinical_LogMaxMean	clinical_Class	clinical_LDA	clinical_pValue	plating_LogMaxMean	plating_Class	plating_LDA	plating_pValue	severe_LogMaxMean	severe_Class	severe_LDA	severe_pValue
Otu00001	NA	NA	NA	NA	5.03921	positive	4.62184	0.00245863	5.08276	positive	4.5396	0.000959221	NA	NA	NA	NA
Otu00002	NA	NA	NA	NA	NA	NA	NA	NA	5.28935	negative	4.58563	0.0497824	NA	NA	NA	NA
Otu00003	NA	NA	NA	NA	4.92933	negative	4.46808	0.044692	NA	NA	NA	NA	NA	NA	NA	NA
Otu00004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.15433	0	4.63478	0.0045632
Otu00006	NA	NA	NA	NA	NA	NA	NA	NA	4.71735	positive	4.29767	0.0294856	NA	NA	NA	NA
Otu00012	4.70672	recurrent	4.26101	0.0138187	4.5808	positive	4.2956	0.0313521	NA	NA	NA	NA	NA	NA	NA	NA
Otu00014	4.153	nonrecurrent	4.14683	0.038049	4.33695	negative	4.16039	0.025578	NA	NA	NA	NA	NA	NA	NA	NA
Otu00015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.17581	0	3.76728	0.00285513
Otu00017	NA	NA	NA	NA	NA	NA	NA	NA	4.02402	positive	3.59934	0.0429586	3.47602	0	3.2542	0.0360884
Otu00030	NA	NA	NA	NA	NA	NA	NA	NA	3.88087	positive	3.69693	0.0109254	3.47602	0	3.2542	0.0360884
Otu00034	NA	NA	NA	NA	NA	NA	NA	NA	3.68802	positive	3.42144	0.01211	NA	NA	NA	NA
Otu00044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.65906	0	3.41887	0.0183701
Otu00050	NA	NA	NA	NA	3.73442	positive	3.90716	0.00503877	3.74561	positive	3.64919	0.00700225	3.81959	1	3.49648	0.00524013
Otu00097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.59341	1	3.39546	0.0120566
