OTU	Size	Taxonomy	taxname	phylum
Otu00001	543009	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);unclassified(100);	Otu00001_Enterobacteriaceae	Proteobacteria
Otu00002	497400	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Enterococcaceae(100);Enterococcus(99);	Otu00002_Enterococcus	Firmicutes
Otu00003	326393	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);	Otu00003_Bacteroides	Bacteroidetes
Otu00004	440917	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia/Shigella(99);	Otu00004_Escherichia	Proteobacteria
Otu00005	166060	Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonella(100);	Otu00005_Veillonella	Firmicutes
Otu00006	299250	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);	Otu00006_Bacteroides	Bacteroidetes
Otu00007	80992	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(80);	Otu00007_Lactobacillus	Firmicutes
Otu00008	66428	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Faecalibacterium(100);	Otu00008_Faecalibacterium	Firmicutes
Otu00009	58319	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Parabacteroides(100);	Otu00009_Parabacteroides	Bacteroidetes
Otu00010	88458	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);	Otu00010_Bacteroides	Bacteroidetes
Otu00011	247093	Bacteria(100);Verrucomicrobia(100);Verrucomicrobiae(100);Verrucomicrobiales(100);Verrucomicrobiaceae(100);Akkermansia(100);	Otu00011_Akkermansia	Verrucomicrobia
Otu00012	147859	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Clostridium_XI(100);	Otu00012_Clostridium_XI	Firmicutes
Otu00013	72306	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);	Otu00013_Blautia	Firmicutes
Otu00014	90355	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);	Otu00014_Streptococcus	Firmicutes
Otu00015	74195	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);unclassified(100);	Otu00015_Lachnospiraceae	Firmicutes
Otu00016	75992	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVa(100);	Otu00016_Clostridium_XlVa	Firmicutes
Otu00017	66612	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacterium(100);	Otu00017_Bifidobacterium	Actinobacteria
Otu00018	62893	Bacteria(100);Fusobacteria(100);Fusobacteriia(100);Fusobacteriales(100);Fusobacteriaceae(100);Fusobacterium(100);	Otu00018_Fusobacterium	Fusobacteria
Otu00019	90734	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Rikenellaceae(100);Alistipes(100);	Otu00019_Alistipes	Bacteroidetes
Otu00020	31786	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(95);	Otu00020_Blautia	Firmicutes
Otu00021	40597	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Ruminococcus2(88);	Otu00021_Ruminococcus2	Firmicutes
Otu00022	32920	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);	Otu00022_Streptococcus	Firmicutes
Otu00023	17076	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Roseburia(97);	Otu00023_Roseburia	Firmicutes
Otu00024	49171	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);	Otu00024_Bacteroides	Bacteroidetes
Otu00025	43023	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);	Otu00025_Lactobacillus	Firmicutes
Otu00026	59600	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Parabacteroides(100);	Otu00026_Parabacteroides	Bacteroidetes
Otu00027	27443	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);	Otu00027_Blautia	Firmicutes
Otu00028	29554	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridium_sensu_stricto(100);	Otu00028_Clostridium_sensu_stricto	Firmicutes
Otu00029	19658	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Anaerostipes(100);	Otu00029_Anaerostipes	Firmicutes
Otu00030	26323	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);	Otu00030_Blautia	Firmicutes
Otu00031	24596	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);unclassified(99);	Otu00031_Ruminococcaceae	Firmicutes
Otu00032	22593	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridium_sensu_stricto(100);	Otu00032_Clostridium_sensu_stricto	Firmicutes
Otu00033	29742	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);	Otu00033_Bacteroides	Bacteroidetes
Otu00034	34450	Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Clostridium_XVIII(100);	Otu00034_Clostridium_XVIII	Firmicutes
